2026-06-15 14:56:46.939690: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2026-06-15 14:56:47.033053: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F AVX512_VNNI FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
tb_monitor -> tb/sweep | total=1080 | every 30s
[  99.0 min]  426/1080 (39.4%)  rate= 4.0/min  eta=165.5 min  workers=30
[  99.5 min]  426/1080 (39.4%)  rate= 2.9/min  eta=229.1 min  workers=30
[ 100.0 min]  428/1080 (39.6%)  rate= 2.9/min  eta=228.4 min  workers=30
[ 100.5 min]  431/1080 (39.9%)  rate= 3.1/min  eta=211.1 min  workers=30
[ 101.0 min]  432/1080 (40.0%)  rate= 3.3/min  eta=196.7 min  workers=30
[ 101.5 min]  434/1080 (40.2%)  rate= 3.3/min  eta=196.1 min  workers=30
[ 102.0 min]  435/1080 (40.3%)  rate= 2.9/min  eta=225.8 min  workers=30
[ 102.5 min]  437/1080 (40.5%)  rate= 3.1/min  eta=209.0 min  workers=30
[ 103.0 min]  440/1080 (40.7%)  rate= 3.5/min  eta=181.6 min  workers=30
[ 103.5 min]  443/1080 (41.0%)  rate= 3.7/min  eta=170.1 min  workers=30
[ 104.0 min]  445/1080 (41.2%)  rate= 4.2/min  eta=151.8 min  workers=30
[ 104.5 min]  447/1080 (41.4%)  rate= 4.2/min  eta=151.3 min  workers=30
[ 105.0 min]  449/1080 (41.6%)  rate= 4.0/min  eta=159.2 min  workers=30
[ 105.5 min]  450/1080 (41.7%)  rate= 4.0/min  eta=159.0 min  workers=30
[ 106.0 min]  452/1080 (41.9%)  rate= 4.0/min  eta=158.5 min  workers=30
[ 106.5 min]  455/1080 (42.1%)  rate= 4.4/min  eta=142.0 min  workers=30
[ 107.0 min]  456/1080 (42.2%)  rate= 4.2/min  eta=149.2 min  workers=30
[ 107.5 min]  456/1080 (42.2%)  rate= 3.5/min  eta=177.2 min  workers=30
[ 108.1 min]  457/1080 (42.3%)  rate= 3.1/min  eta=202.1 min  workers=30
[ 108.6 min]  458/1080 (42.4%)  rate= 2.9/min  eta=217.4 min  workers=30
[ 109.1 min]  462/1080 (42.8%)  rate= 3.3/min  eta=187.2 min  workers=30
[ 109.6 min]  465/1080 (43.1%)  rate= 3.5/min  eta=174.6 min  workers=30
[ 110.1 min]  466/1080 (43.1%)  rate= 3.5/min  eta=174.3 min  workers=30
[ 110.6 min]  469/1080 (43.4%)  rate= 3.7/min  eta=163.3 min  workers=30
[ 111.1 min]  471/1080 (43.6%)  rate= 3.5/min  eta=172.9 min  workers=30
[ 111.6 min]  473/1080 (43.8%)  rate= 3.7/min  eta=162.2 min  workers=30
[ 112.1 min]  473/1080 (43.8%)  rate= 3.7/min  eta=162.2 min  workers=30
